Word,Translate
as,как
his,его
that,что
he,он
was,был
for,для
on,на
are,являются
with,с
they,они
be,быть
at,в
one,один
have,иметь
this,этот
from,от
by,к
hot,горячий
word,слово
but,но
what,что
some,некоторый
is,является
it,это
you,ты
or,или
had,имел
the,а
of,из
to,к
and,и
a,а
in,в
we,мы
can,может
out,вне
other,другой
were,были
which,который
do,делать
their,их
time,время
if,если
will,воля
how,как
said,сказал
an,анонца
each,каждый
tell,рассказывать
does,делает
set,набор
three,три
want,хотеть
air,воздух
well,хорошо
also,также
play,играть
small,маленький
end,конец
put,помещать
home,дом
read,читать
hand,рука
port,порт
large,большой
spell,заклинание
add,добавлять
even,даже
land,земля
here,здесь
must,должен
big,большой
high,высокий
such,такой
follow,следовать
act,действовать
why,почему
ask,просить
men,Мужчины
change,изменять
went,шел
light,свет
kind,добрый
off,выключенный
need,нуждаться
house,дом
picture,картина
try,пытаться
us,нас
again,снова
animal,животное
point,точка
mother,мать
world,мир
near,около
build,строить
self,себя
earth,земля
father,отец
any,любой
new,новый
work,работа
part,часть
take,брать
get,получать
place,место
made,сделал
live,жить
where,где
after,после
back,назад
little,маленький
only,только
round,круглый
man,мужчина
year,год
came,пришел
show,показывать
every,каждый
good,хороший
me,мне
give,давать
our,наш
under,под
name,имя
very,очень
through,через
just,только
form,форма
sentence,предложение
great,большой
think,думать
say,сказать
help,помощь
low,низкий
line,линия
differ,отличается
turn,повернуть
cause,причина
much,много
mean,иметь в виду
before,до
move,двигаться
right,верно
boy,мальчик
old,старый
too,слишком
same,такой же
she,она
all,все
there,там
when,когда
up,вверх
use,использовать
your,твой
way,способ
about,о
many,много
then,затем
them,их
write,писать
would,бы
like,нравиться
so,так
these,эти
her,ее
long,длинный
make,делать
thing,вещь
see,видеть
him,ему
two,два
has,имеет
look,смотреть
more,более
day,день
could,мог
go,идти
come,приходить
did,делал
number,число
sound,звук
no,нет
most,большинство
people,люди
my,мой
over,над
know,знать
water,вода
than,чем
call,вызов
first,первый
who,ВОЗ
may,может
down,вниз
side,сторона
been,был
now,сейчас
find,находить
head,голова
stand,стоять
own,собственный
page,страница
should,должен
country,страна
found,найденный
answer,отвечать
school,школа
grow,расти
study,изучать
still,все еще
learn,учиться
plant,растение
cover,крышка
food,еда
sun,солнце
four,четыре
between,между
state,состояние
keep,держать
eye,глаз
never,никогда
last,последний
let,позволять
thought,мысль
city,город
tree,дерево
cross,крест
farm,ферма
hard,жесткий
start,начинать
might,мощь
story,история
saw,пила
far,далеко
sea,море
draw,рисовать
left,левый
late,поздно
run,бегать
dont,не
while,пока
press,нажимать
close,закрывать
night,ночь
real,настоящий
life,жизнь
few,немного
north,север
book,книга
carry,нести
took,взял
science,наука
eat,есть
room,комната
friend,друг
began,начал
idea,идея
fish,рыба
mountain,гора
stop,останавливаться
once,один раз
base,база
hear,слышать
horse,лошадь
cut,резать
sure,конечно
watch,смотреть
colour,цвет
face,лицо
wood,древесина
main,основной
open,открыть
seem,казаться
together,вместе
next,следующий
white,белый
children,дети
begin,начинать
got,получил
walk,ходить
example,пример
ease,простота
paper,бумага
group,группа
always,всегда
music,музыка
those,те
both,оба
mark,отметка
often,часто
letter,письмо
until,до
mile,миля
river,река
car,машина
feet,ноги
care,Забота
second,второй
enough,достаточно
plain,простой
girl,девочка
usual,обычный
young,молодой
ready,готовый
above,выше
ever,всегда
red,красный
list,список
though,хотя
feel,чувствовать
talk,разговаривать
bird,птица
soon,скоро
body,тело
dog,собака
family,семья
direct,прямой
pose,поза
leave,оставлять
song,песня
measure,мера
door,дверь
product,продукт
black,черный
short,короткий
numeral,цифра
class,сорт
wind,ветер
question,вопрос
happen,случаться
complete,полный
ship,корабль
area,область
half,половина
rock,камень
order,заказ
fire,огонь
south,юг
problem,проблема
piece,кусок
told,сказал
knew,знал
pass,проходить
since,с
top,вершина
whole,весь
king,король
street,улица
inch,дюйм
multiply,умножить
nothing,ничего
course,курс
stay,оставаться
wheel,колесо
full,полный
force,сила
blue,синий
object,объект
decide,решать
surface,поверхность
deep,глубокий
moon,луна
island,остров
foot,ступня
system,система
busy,занятый
test,тест
record,записывать
boat,лодка
common,общий
gold,золото
possible,возможный
plane,самолет
stead,устойчивый
dry,сухой
wonder,удивляться
laugh,смех
thousand,тысяча
ago,назад
ran,пробег
check,проверять
game,игра
shape,форма
equate,приравнивает
miss,скучать
brought,принес
heat,нагревать
snow,снег
tire,шина
bring,приносить
yes,да
distant,далекий
fill,наполнять
east,восток
paint,краска
language,язык
among,среди
unit,единица
power,власть
town,город
fine,отлично
certain,определенный
fly,летать
fall,падать
lead,вести
cry,плакать
dark,темный
machine,машина
note,примечание
wait,ждать
plan,план
figure,фигура
star,звезда
box,коробка
noun,существительное
field,поле
rest,отдых
correct,правильный
able,способный
pound,фунт
done,сделанный
beauty,красота
drive,водить машину
stood,стоял
contain,содержать
front,передний
teach,учат
week,неделя
final,финал
gave,отдал
green,зеленый
oh,ой
quick,быстрый
develop,развивать
ocean,океан
warm,теплый
free,бесплатно
minute,минута
strong,сильный
special,особенный
mind,разум
behind,позади
clear,прозрачный
tail,хвост
produce,производить
fact,факт
space,космос
heard,слышал
best,лучший
hour,час
better,лучше
TRUE,истинный
during,в течение
hundred,сто
five,пять
remember,помнить
step,шаг
early,рано
hold,держать
west,западный
ground,земля
interest,интерес
reach,достигать
fast,быстрый
verb,глагол
sing,петь
listen,слушать
six,шесть
table,стол
travel,путешествовать
less,меньше
morning,утро
ten,десять
simple,простой
several,несколько
vowel,гласный
towards,к
war,война
lay,класть
against,против
pattern,шаблон
slow,медленный
center,центр
love,любовь
person,человек
money,деньги
serve,служить
appear,появляться
road,дорога
map,карта
rain,дождь
rule,правило
govern,управляющий
pull,тянуть
cold,холодный
notice,уведомление
voice,голос
energy,энергия
hunt,охотиться
probable,Вероятный
bed,кровать
brother,брат
egg,яйцо
ride,поездка
cell,клетка
believe,полагать
perhaps,возможно
pick,выбирать
sudden,внезапный
count,считать
square,квадрат
reason,причина
length,длина
represent,представлять
art,искусство
subject,предмет
region,область
size,размер
vary,отличаться
settle,решить
speak,говорить
weight,масса
general,общий
ice,лед
matter,иметь значение
circle,круг
pair,пара
include,включать
divide,разделять
syllable,слог
felt,чувствовал себя
grand,гранд
ball,мяч
yet,еще
wave,волна
drop,уронить
heart,сердце
present,подарок
heavy,тяжелый
dance,танец
engine,двигатель
position,позиция
arm,рука
wide,широкий
sail,плыть
material,материал
fraction,доля
forest,лес
sit,сидеть
race,раса
window,окно
store,магазин
summer,лето
train,тренироваться
sleep,спать
prove,доказывать
alone,один
leg,нога
exercise,упражнение
wall,стена
catch,ловить
mount,устанавливать
wish,желание
sky,небо
board,доска
joy,радость
winter,зима
somebody,кто-нибудь
written,написано
wild,дикий
instrument,инструмент
kept,сохраняется
glass,стекло
grass,трава
cow,корова
job,работа
edge,край
sign,знак
visit,посещать
past,прошлое
soft,мягкий
fun,веселье
bright,яркий
gas,газ
weather,погода
month,месяц
million,миллион
bear,медведь
finish,заканчивать
happy,счастливый
hope,надеяться
flower,цветок
clothes,одежда
strange,странный
gone,ушел
trade,торговля
melody,мелодия
trip,путешествие
office,офис
receive,получать
row,ряд
mouth,рот
exact,точный
symbol,символ
die,умереть
least,наименее
trouble,беда
shout,кричать
except,кроме
writer,писатель
seed,семя
tone,тон
join,присоединиться
suggest,предлагать
clean,чистый
break,перерыв
lady,леди
yard,площадка
rise,рост
bad,плохой
blow,дуть
oil,масло
blood,кровь
touch,трогать
goal,цель
cent,цент
mix,смешивание
team,команда
wire,проволока
cost,расходы
lost,потерянный
brown,коричневый
wear,носить
garden,сад
equal,равный
sent,отправил
choose,выбирать
feel,чувствовать
fit,соответствовать
flow,поток
fair,справедливый
bank,банк
collect,собирать
save,сохранять
control,контроль
decimal,десятичная дробь
ear,ухо
else,еще
quite,довольно
broke,сломанный
case,случай
middle,середина
kill,убийство
son,сын
lake,озеро
moment,мгновенный
scale,шкала
loud,громкий
spring,весна
observe,наблюдать
child,ребенок
straight,прямой
consonant,согласный
nation,нация
dictionary,словарь
milk,молоко
speed,скорость
method,метод
organ,орган
pay,платить
age,возраст
section,раздел
dress,одеваться
cloud,облако
surprise,Сюрприз
quiet,тихий
stone,камень
tiny,крошечный
climb,взбираться
cool,прохладный
design,дизайн
poor,бедный
lot,много
explain,объяснять
bottom,нижний
key,ключ
iron,железо
single,одинокий
stick,палка
flat,плоский
twenty,двадцать
skin,кожа
smile,улыбка
crease,складка
hole,дыра
jump,Прыгать
baby,малыш
eight,восемь
village,деревня
meet,встретиться
root,корень
buy,купить
raise,поднимать
solve,решать
metal,металл
whether,ли
push,толкать
seven,Семь
paragraph,параграф
third,третий
shall,должен
held,держал
hair,волосы
describe,описывать
cook,готовить
floor,пол
either,или
result,результат
burn,гореть
hill,холм
safe,безопасный
cat,кот
century,век
consider,учитывать
type,тип
law,закон
bit,кусочек
coast,побережье
copy,копия
phrase,фраза
silent,тихий
tall,высокий
sand,песок
soil,земля
roll,рулон
temperature,температура
finger,Палец
industry,промышленность
value,ценить
fight,драться
lie,ложь
beat,бить
excite,волновать
natural,естественный
view,вид
sense,смысл
capital,капитал
wont,не будет
chair,стул
danger,Опасность
fruit,фрукты
rich,богатый
thick,толстый
soldier,солдат
process,процесс
operate,работать
practice,упражняться
separate,отдельный
difficult,трудный
doctor,врач
please,пожалуйста
protect,защищать
noon,полдень
crop,обрезать
modern,современный
element,элемент
hit,ударять
student,студент
corner,угол
party,вечеринка
supply,поставлять
whose,чей
locate,найти
ring,кольцо
character,характер
insect,насекомое
caught,пойманный
period,период
indicate,указывать
radio,радио
spoke,говорил
atom,атом
human,человек
history,история
effect,эффект
electric,электрический
expect,ожидать
bone,кость
rail,железнодорожный
imagine,представлять себе
provide,предоставлять
agree,соглашаться
thus,таким образом
gentle,нежный
woman,женщина
captain,капитан
guess,предполагать
necessary,необходимый
sharp,острый
wing,крыло
create,создавать
neighbour,сосед
wash,стирать
bat,летучая мышь
rather,скорее
crowd,толпа
corn,кукуруза
compare,сравнивать
poem,стих
string,нить
bell,колокол
depend,зависеть
meat,мясо
rub,натирать
tube,трубка
famous,известный
dollar,доллар
stream,транслировать
fear,страх
sight,взгляд
thin,тонкий
triangle,треугольник
planet,планета
hurry,торопиться
chief,главный
colony,колония
clock,Часы
mine,мой
tie,галстук
enter,входить
major,главный
fresh,свежий
search,поиск
send,отправлять
yellow,желтый
gun,пистолет
allow,позволять
print,Распечатать
dead,мертвый
spot,место
desert,пустыня
suit,подходить
current,текущий
lift,поднимать
rose,Роза
arrive,приезжать
master,владелец
track,отслеживать
parent,родительский
shore,берег
division,разделение
sheet,лист
substance,вещество
favour,услуга
connect,соединять
post,почта
spend,тратить
chord,аккорд
fat,толстый
glad,радостный
original,оригинал
share,делиться
station,станция
dad,папа
bread,хлеб
charge,заряжать
proper,правильный
bar,бар
offer,предложение
segment,сегмент
slave,раб
duck,утка
instant,мгновенный
market,рынок
degree,степень
populate,заполнять
education,образование
dear,дорогой
enemy,враг
reply,отвечать
drink,напиток
occur,происходить
support,поддерживать
speech,речь
nature,природа
range,диапазон
steam,пар
motion,движение
path,путь
liquid,жидкость
violence,насилие
meant,имел в виду
quotient,коэффициент
teeth,зубы
shell,оболочка
neck,шея
oxygen,кислород
sugar,сахар
death,смерть
pretty,симпатичный
skill,навык
women,женщины
season,время года
solution,решение
magnet,магнит
silver,серебро
thanks,Спасибо
lunch,обед
match,соответствовать
treat,обращаться
especially,особенно
fail,неудача
afraid,испуганный
huge,огромный
sister,сестра
steel,сталь
discuss,обсуждать
forward,вперед
similar,похожий
guide,гид
experience,опыт
score,счет
apple,яблоко
evidence,доказательство
message,сообщение
movie,фильм
coat,пальто
mass,масса
card,карта
band,группа
rope,веревка
slip,соскальзывать
win,победить
dream,мечтать
evening,вечер
condition,состояние
feed,кормить
tool,инструмент
total,общий
basic,базовый
smell,запах
valley,долина
not,нет
double,двойной
seat,сиденье
continue,продолжать
news,Новости
police,полиция
hat,шапка
sell,продавать
success,успех
company,компания
security,безопасность
event,событие
particular,особый
deal,иметь дело
swim,плавать
term,срок
opposite,противоположный
wife,жена
shoes,обувь
shoulders,плечи
spread,распространение
arrange,договариваться
camp,лагерь
invent,изобретать
cotton,хлопок
born,рожденный
determine,определять
quarter,четверть
nine,девять
remove,удалять
noise,шум
level,уровень
chance,шанс
gather,собирать
shop,магазин
stretch,потягиваться
throw,бросать
shine,светить
property,свойство
issue,проблема
legal,юридический
select,выбирать
wrong,неправильный
gray,серый
repeat,повторить
require,требовать
broad,широкий
prepare,подготовить
salt,соль
nose,нос
plural,множественное число
anger,злость
claim,требовать
price,цена